,datetime,tempmin,year,yearly_rolling_avg
3,1983-12-31 00:00:00,25.666666666666668,1983,15.59
4,1984-12-31 00:00:00,26.666666666666668,1984,24.8
5,1985-12-31 00:00:00,28.555555555555557,1985,26.96
6,1986-12-31 00:00:00,24.66666666666667,1986,26.63
7,1987-12-31 00:00:00,21.833333333333332,1987,25.02
8,1988-12-31 00:00:00,22.555555555555554,1988,23.02
9,1989-12-31 00:00:00,21.666666666666668,1989,22.02
10,1990-12-31 00:00:00,24.66666666666667,1990,22.96
11,1991-12-31 00:00:00,21.333333333333336,1991,22.56
12,1992-12-31 00:00:00,30.055555555555557,1992,25.35
13,1993-12-31 00:00:00,31.666666666666668,1993,27.69
14,1994-12-31 00:00:00,19.66666666666667,1994,27.13
15,1995-12-31 00:00:00,22.555555555555554,1995,24.63
16,1996-12-31 00:00:00,22.055555555555557,1996,21.43
17,1997-12-31 00:00:00,29.055555555555557,1997,24.56
18,1998-12-31 00:00:00,20.833333333333332,1998,23.98
19,1999-12-31 00:00:00,21.055555555555557,1999,23.65
20,2000-12-31 00:00:00,21.055555555555557,2000,20.98
21,2001-12-31 00:00:00,18.055555555555557,2001,20.06
22,2002-12-31 00:00:00,9.055555555555554,2002,16.06
23,2003-12-31 00:00:00,22.055555555555557,2003,16.39
24,2004-12-31 00:00:00,20.833333333333332,2004,17.31
25,2005-12-31 00:00:00,19.055555555555557,2005,20.65
26,2006-12-31 00:00:00,20.833333333333332,2006,20.24
27,2007-12-31 00:00:00,20.055555555555554,2007,19.98
28,2008-12-31 00:00:00,17.555555555555557,2008,19.48
29,2009-12-31 00:00:00,18.055555555555557,2009,18.56
30,2010-12-31 00:00:00,19.0,2010,18.2
31,2011-12-31 00:00:00,16.72222222222222,2011,17.93
32,2012-12-31 00:00:00,17.666666666666668,2012,17.8
33,2013-12-31 00:00:00,19.0,2013,17.8
34,2014-12-31 00:00:00,21.0,2014,19.22
35,2015-12-31 00:00:00,18.277777777777782,2015,19.43
36,2016-12-31 00:00:00,20.777777777777782,2016,20.02
37,2017-12-31 00:00:00,20.0,2017,19.69
38,2018-12-31 00:00:00,19.0,2018,19.93
39,2019-12-31 00:00:00,14.944444444444445,2019,17.98
40,2020-12-31 00:00:00,16.944444444444443,2020,16.96
41,2021-12-31 00:00:00,13.444444444444446,2021,15.11
42,2022-12-31 00:00:00,9.944444444444445,2022,13.44
43,2023-12-31 00:00:00,12.944444444444443,2023,12.11
44,2024-12-31 00:00:00,21.0,2024,14.63
3,2027-12-31 00:00:00+00:00,23.32683790368969,2027,22.55
4,2028-12-31 00:00:00+00:00,22.57657788170144,2028,22.44
5,2029-12-31 00:00:00+00:00,23.955591808889867,2029,23.29
6,2030-12-31 00:00:00+00:00,22.43318306424442,2030,22.99
7,2031-12-31 00:00:00+00:00,20.834839732151245,2031,22.41
8,2032-12-31 00:00:00+00:00,24.38325829350682,2032,22.55
9,2033-12-31 00:00:00+00:00,23.82526578840008,2033,23.01
10,2034-12-31 00:00:00+00:00,23.831075260006305,2034,24.01
11,2035-12-31 00:00:00+00:00,23.89877594386539,2035,23.85
12,2036-12-31 00:00:00+00:00,24.99511742804343,2036,24.24
13,2037-12-31 00:00:00+00:00,24.447723910946443,2037,24.45
14,2038-12-31 00:00:00+00:00,23.844650879344137,2038,24.43
15,2039-12-31 00:00:00+00:00,22.594813069016855,2039,23.63
16,2040-12-31 00:00:00+00:00,24.323760750734294,2040,23.59
17,2041-12-31 00:00:00+00:00,23.309027555351705,2041,23.41
18,2042-12-31 00:00:00+00:00,23.249575579930536,2042,23.63
19,2043-12-31 00:00:00+00:00,24.276073298657305,2043,23.61
20,2044-12-31 00:00:00+00:00,24.4519789165075,2044,23.99
21,2045-12-31 00:00:00+00:00,22.572938251338673,2045,23.77
22,2046-12-31 00:00:00+00:00,25.78624638454426,2046,24.27
23,2047-12-31 00:00:00+00:00,22.174362203916345,2047,23.51
24,2048-12-31 00:00:00+00:00,23.669278672371345,2048,23.88
25,2049-12-31 00:00:00+00:00,25.00043703578444,2049,23.61
26,2050-12-31 00:00:00+00:00,23.264875110021173,2050,23.98
